resourceId,format,count,version,n,time,memory
66224,text/turtle,2319,1.9.0.0,5,0.35519876480103,4
66224,application/n-triples,2319,1.9.0.0,5,0.17678112983704,4
66224,application/ld+json,2319,1.9.0.0,5,0.52164101600647,8
66224,application/rdf+xml,2319,1.9.0.0,5,0.42818260192871,4
105858,text/turtle,4521,1.9.0.0,5,0.70382981300354,8
105858,application/n-triples,4521,1.9.0.0,5,0.25056042671204,8
105858,application/ld+json,4521,1.9.0.0,5,0.29494400024414,12
105858,application/rdf+xml,4521,1.9.0.0,5,1.0126690387726,8
46441,text/turtle,16253,1.9.0.0,5,2.5491147518158,22
46441,application/n-triples,16253,1.9.0.0,5,0.84985327720642,26
46441,application/ld+json,16253,1.9.0.0,5,1.037561750412,40
46441,application/rdf+xml,16253,1.9.0.0,5,8.8893258094788,28
75232,text/turtle,51279,1.9.0.0,5,7.6358017921448,94
75232,application/n-triples,51279,1.9.0.0,5,2.6951651096344,78
75232,application/ld+json,51279,1.9.0.0,5,3.2434908866882,124
75232,application/rdf+xml,51279,1.9.0.0,5,49.897059631348,84
67345,text/turtle,141791,1.9.0.0,5,18.036317777634,167
67345,application/n-triples,141791,1.9.0.0,5,7.0680260181427,188
67345,application/ld+json,141791,1.9.0.0,5,9.006546831131,330
67345,application/rdf+xml,141791,1.9.0.0,5,17.228162384033,212
